downloaded,language,form,measure,age,word,proportion
2025-01-25,English (American),WS,produces,26,every,0.13
2025-01-25,English (American),WS,produces,27,every,0.17
2025-01-25,English (American),WS,produces,28,every,0.21
2025-01-25,English (American),WS,produces,29,every,0.33
2025-01-25,English (American),WS,produces,30,every,0.36
2025-01-25,English (American),WS,produces,16,for,0
2025-01-25,English (American),WS,produces,17,for,0
2025-01-25,English (American),WS,produces,18,for,0.01
2025-01-25,English (American),WS,produces,19,for,0.03
2025-01-25,English (American),WS,produces,20,for,0.04
2025-01-25,English (American),WS,produces,21,for,0.04
2025-01-25,English (American),WS,produces,22,for,0.08
2025-01-25,English (American),WS,produces,23,for,0.13
2025-01-25,English (American),WS,produces,24,for,0.15
2025-01-25,English (American),WS,produces,25,for,0.23
2025-01-25,English (American),WS,produces,26,for,0.27
2025-01-25,English (American),WS,produces,27,for,0.36
2025-01-25,English (American),WS,produces,28,for,0.36
