"term","estimate","std.error","statistic","p.value","model"
"mean_utterance_length:syn_catadv",338086.799523196,54842.5911035913,6.16467589732567,1.0384755413479e-05,"multiplicative"
"mean_utterance_length:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catconj",2750915.65579904,443734.543546389,6.19946248451458,9.70496312711664e-06,"multiplicative"
"mean_utterance_length:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catdet",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catdet-pro-dem",24239.5176500337,3738.0880257525,6.48446946220699,5.60754935848476e-06,"multiplicative"
"mean_utterance_length:syn_catmod",-8243.49961743044,1267.98641199952,-6.50125233158535,5.43118419749375e-06,"multiplicative"
"mean_utterance_length:syn_catneg",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catprep",-2263748.5879436,366178.97271176,-6.18208241499855,1.00386445487748e-05,"multiplicative"
"mean_utterance_length:syn_catprep-adv",1180770.5147855,189857.321010374,6.21925195458217,9.33896900077837e-06,"multiplicative"
"mean_utterance_length:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:syn_catpro-int-rel",-475567.29751489,82329.6241978786,-5.77638124974151,2.23528907743758e-05,"multiplicative"
"mean_utterance_length:syn_catqn",52761.3416136004,8750.80425832942,6.02931342720639,1.3535591557925e-05,"multiplicative"
"mean_utterance_length:syn_catqn-adv",265249.404286562,42930.0809791262,6.17863740847666,1.01061843436449e-05,"multiplicative"
"Conc.M:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catadv",3582.50992396817,405.022723867098,8.84520722630793,9.05989697995898e-08,"multiplicative"
"Conc.M:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catconj",-5654.48969359987,791.2883518404,-7.14592813156986,1.63833240780317e-06,"multiplicative"
"Conc.M:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catdet",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catmod",-3507.8282770455,539.199844036556,-6.50561812255955,5.38625581587494e-06,"multiplicative"
"Conc.M:syn_catneg",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catprep",7293412.9234953,1180082.88409373,6.18042429205846,1.00710937282069e-05,"multiplicative"
"Conc.M:syn_catprep-adv",-509709.045935543,83660.4024534873,-6.09259615047784,1.19548450536924e-05,"multiplicative"
"Conc.M:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"Conc.M:syn_catpro-int-rel",-6026005.20343817,996166.458175514,-6.04919504565015,1.30169128700537e-05,"multiplicative"
"Conc.M:syn_catqn",-3982572.40971029,643414.180714432,-6.18974919901227,9.89000846961046e-06,"multiplicative"
"Conc.M:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length",354849461.591817,57183485.1763915,6.20545355878935,9.59261985966041e-06,"multiplicative"
"phoneme_length:frequency:Conc.M",17873756.0734527,2578606.84139199,6.93155536025957,2.42522348890124e-06,"multiplicative"
"phoneme_length:mean_utterance_length:Conc.M",345.07100334274,47.815989344482,7.21664464279376,1.44145562542249e-06,"multiplicative"
"frequency:mean_utterance_length:Conc.M",9516205.30557715,1446051.11717691,6.58082220783137,4.67004507904193e-06,"multiplicative"
"phoneme_length:frequency:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catadv",1298622825.60291,208773261.502848,6.22025452998536,9.32081186869807e-06,"multiplicative"
"phoneme_length:frequency:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catconj",-1553880871.4293,251494291.298039,-6.17859301461376,1.01070577552193e-05,"multiplicative"
"phoneme_length:frequency:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
